,beds,baths,size,zip_code,price
0,3,3.0,2850.0,98119,1175000.0
1,4,5.0,3040.0,98106,1057500.0
2,3,1.0,1290.0,98125,799000.0
3,3,2.0,2360.0,98188,565000.0
4,3,3.5,1942.0,98107,1187000.0
5,2,2.0,963.0,98122,701000.0
6,1,1.0,756.0,98105,480000.0
7,4,6.0,3300.0,98199,1795000.0
8,4,2.0,2060.0,98144,1025000.0
9,1,1.0,672.0,98122,450000.0
10,3,2.5,1760.0,98122,1135000.0
11,1,1.5,924.0,98121,568000.0
12,3,2.0,2500.0,98136,648000.0
13,2,2.0,1800.0,98199,699950.0
14,1,1.0,574.0,98104,429950.0
15,2,2.0,2241.0,98112,2450000.0
16,3,1.5,2320.0,98109,1275000.0
17,2,2.0,1415.0,98125,449000.0
18,3,1.5,1750.0,98102,925000.0
19,3,3.0,2340.0,98126,974898.0
20,4,2.0,1690.0,98168,550000.0
21,3,2.5,2320.0,98103,1175000.0
22,2,1.0,1760.0,98116,700000.0
23,1,1.0,685.0,98121,570000.0
24,2,2.0,946.0,98103,690000.0
25,3,2.0,1610.0,98146,540000.0
26,3,1.0,1390.0,98105,450000.0
27,2,1.0,1620.0,98178,487639.0
28,4,2.5,2010.0,98136,982000.0
29,2,1.5,890.0,98146,510000.0
30,2,2.0,964.0,98126,512500.0
31,2,1.0,980.0,98144,598000.0
32,4,4.0,3310.0,98116,1215000.0
33,2,1.0,840.0,98146,485000.0
34,2,2.0,1878.0,98115,515000.0
35,3,2.0,1910.0,98109,1090000.0
36,2,1.0,900.0,98133,474000.0
37,3,2.0,2210.0,98118,1425000.0
38,3,2.5,2168.0,98119,1700000.0
39,3,2.0,2760.0,98105,1235000.0
40,2,2.5,2760.0,98105,1440000.0
41,2,2.5,1291.0,98144,680000.0
42,7,6.0,3780.0,98119,1210000.0
43,4,3.0,2190.0,98112,1685000.0
44,4,3.5,4027.0,98199,2170000.0
45,4,2.5,3410.0,98125,1700000.0
46,5,2.0,2470.0,98107,905000.0
47,3,2.0,1850.0,98117,890000.0
48,4,3.0,2430.0,98106,995000.0
49,2,2.0,1395.0,98199,751849.0
50,2,1.5,1290.0,98117,869000.0
51,4,1.0,1485.0,98178,500000.0
52,1,1.0,718.0,98115,525000.0
53,3,2.5,2220.0,98177,1350000.0
54,2,2.0,899.0,98103,587000.0
55,2,1.0,785.0,98102,470000.0
56,3,3.0,2225.0,98101,2850000.0
57,3,2.0,1648.0,98126,765000.0
58,5,3.0,1840.0,98115,650000.0
59,3,2.5,1785.0,98144,850000.0
60,3,1.5,1520.0,98136,1200000.0
61,3,1.5,1460.0,98168,410000.0
62,2,2.0,1656.0,98115,642000.0
63,3,1.5,1690.0,98105,625000.0
64,4,2.5,3200.0,98118,1100000.0
65,2,2.0,1030.0,98112,825000.0
66,3,2.5,1220.0,98109,900000.0
67,3,2.0,1330.0,98126,705000.0
68,2,1.0,877.0,98146,350000.0
69,2,2.0,1254.0,98121,1069000.0
70,4,3.0,3160.0,98116,1425000.0
